Line,Stop,Date,Real_date,Score
1,8011,20210901 - 20210917,20210906,91.75
1,8011,20210901 - 20210917,20210907,89.46
1,8011,20210901 - 20210917,20210908,88.46
1,8011,20210901 - 20210917,20210909,95.01
1,8011,20210901 - 20210917,20210910,92.46
1,8011,20210901 - 20210917,20210911,92.76
1,8011,20210901 - 20210917,20210912,88.52
1,8011,20210901 - 20210917,20210913,82.85
1,8011,20210901 - 20210917,20210914,87.88
1,8011,20210901 - 20210917,20210915,85.65
1,8011,20210901 - 20210917,20210916,89.76
1,8011,20210901 - 20210917,20210917,91.92
1,8021,20210901 - 20210917,20210906,91.38
1,8021,20210901 - 20210917,20210907,88.33
1,8021,20210901 - 20210917,20210908,88.77
1,8021,20210901 - 20210917,20210909,95.03
1,8021,20210901 - 20210917,20210910,82.5
1,8021,20210901 - 20210917,20210911,93.82
1,8021,20210901 - 20210917,20210912,84.55
1,8021,20210901 - 20210917,20210913,79.29
1,8021,20210901 - 20210917,20210914,83.42
1,8021,20210901 - 20210917,20210915,79.76
1,8021,20210901 - 20210917,20210916,82.9
1,8021,20210901 - 20210917,20210917,83.57
1,8031,20210901 - 20210917,20210906,91.22
1,8031,20210901 - 20210917,20210907,91.06
1,8031,20210901 - 20210917,20210908,89.58
1,8031,20210901 - 20210917,20210909,94.2
1,8031,20210901 - 20210917,20210910,82.36
1,8031,20210901 - 20210917,20210911,93.48
1,8031,20210901 - 20210917,20210912,83.13
1,8031,20210901 - 20210917,20210913,77.02
1,8031,20210901 - 20210917,20210914,91.12
1,8031,20210901 - 20210917,20210915,79.3
1,8031,20210901 - 20210917,20210916,86.27
1,8031,20210901 - 20210917,20210917,85.05
1,8041,20210901 - 20210917,20210906,90.69
1,8041,20210901 - 20210917,20210907,89.87
1,8041,20210901 - 20210917,20210908,84.44
1,8041,20210901 - 20210917,20210909,92.99
1,8041,20210901 - 20210917,20210910,83.73
1,8041,20210901 - 20210917,20210911,91.29
1,8041,20210901 - 20210917,20210912,83.7
1,8041,20210901 - 20210917,20210913,82.99
1,8041,20210901 - 20210917,20210914,86.97
1,8041,20210901 - 20210917,20210915,81.33
1,8041,20210901 - 20210917,20210916,85.81
1,8041,20210901 - 20210917,20210917,85.27
1,8051,20210901 - 20210917,20210906,90.8
1,8051,20210901 - 20210917,20210907,88.26
1,8051,20210901 - 20210917,20210908,88.42
1,8051,20210901 - 20210917,20210909,90.99
1,8051,20210901 - 20210917,20210910,82.29
1,8051,20210901 - 20210917,20210911,92.75
